Timestamp,Zone,Risk,Trend
2026-02-12 14:54:07,Zone_A,Safe,Collecting Data
2026-02-12 14:54:07,Zone_B,Safe,Collecting Data
2026-02-12 14:54:07,Zone_C,Safe,Collecting Data
2026-02-12 14:54:07,Zone_D,Safe,Collecting Data
2026-02-12 14:54:07,Zone_A,Safe,Collecting Data
2026-02-12 14:54:07,Zone_B,Safe,Collecting Data
2026-02-12 14:54:07,Zone_C,Safe,Collecting Data
2026-02-12 14:54:07,Zone_D,Safe,Collecting Data
2026-02-12 14:54:07,Zone_A,Safe,Decreasing
2026-02-12 14:54:07,Zone_B,Safe,Decreasing
2026-02-12 14:54:07,Zone_C,Safe,Increasing
2026-02-12 14:54:07,Zone_D,Safe,Increasing
2026-02-12 14:54:07,Zone_A,Safe,Increasing
2026-02-12 14:54:07,Zone_B,Safe,Increasing
2026-02-12 14:54:07,Zone_C,Safe,Increasing
2026-02-12 14:54:07,Zone_D,Safe,Increasing
2026-02-12 14:54:07,Zone_A,Safe,Decreasing
2026-02-12 14:54:07,Zone_B,Safe,Increasing
2026-02-12 14:54:07,Zone_C,Safe,Decreasing
2026-02-12 14:54:07,Zone_D,Safe,Decreasing
2026-02-12 14:54:08,Zone_A,Safe,Increasing
2026-02-12 14:54:08,Zone_B,Safe,Decreasing
2026-02-12 14:54:08,Zone_C,Safe,Decreasing
2026-02-12 14:54:08,Zone_D,Safe,Decreasing
2026-02-12 14:54:08,Zone_A,Safe,Decreasing
2026-02-12 14:54:08,Zone_B,Safe,Decreasing
2026-02-12 14:54:08,Zone_C,Safe,Increasing
2026-02-12 14:54:08,Zone_D,Safe,Increasing
2026-02-12 14:54:08,Zone_A,Safe,Decreasing
2026-02-12 14:54:08,Zone_B,Safe,Decreasing
2026-02-12 14:54:08,Zone_C,Safe,Decreasing
2026-02-12 14:54:08,Zone_D,Safe,Decreasing
2026-02-12 14:54:08,Zone_A,Safe,Increasing
2026-02-12 14:54:08,Zone_B,Safe,Stable
2026-02-12 14:54:08,Zone_C,Safe,Stable
2026-02-12 14:54:08,Zone_D,Safe,Increasing
2026-02-12 14:54:08,Zone_A,Safe,Increasing
2026-02-12 14:54:08,Zone_B,Safe,Decreasing
2026-02-12 14:54:08,Zone_C,Safe,Increasing
2026-02-12 14:54:08,Zone_D,Safe,Decreasing
2026-02-12 14:54:09,Zone_A,Safe,Increasing
2026-02-12 14:54:09,Zone_B,Safe,Stable
2026-02-12 14:54:09,Zone_C,Safe,Stable
2026-02-12 14:54:09,Zone_D,Safe,Decreasing
2026-02-12 14:54:09,Zone_A,Safe,Increasing
2026-02-12 14:54:09,Zone_B,Safe,Increasing
2026-02-12 14:54:09,Zone_C,Safe,Decreasing
2026-02-12 14:54:09,Zone_D,Safe,Increasing
2026-02-12 14:54:09,Zone_A,Safe,Decreasing
2026-02-12 14:54:09,Zone_B,Safe,Increasing
2026-02-12 14:54:09,Zone_C,Safe,Decreasing
2026-02-12 14:54:09,Zone_D,Safe,Decreasing
2026-02-12 14:54:09,Zone_A,Safe,Increasing
2026-02-12 14:54:09,Zone_B,Safe,Increasing
2026-02-12 14:54:09,Zone_C,Safe,Increasing
2026-02-12 14:54:09,Zone_D,Safe,Increasing
2026-02-12 14:54:09,Zone_A,Safe,Decreasing
2026-02-12 14:54:09,Zone_B,Safe,Increasing
2026-02-12 14:54:09,Zone_C,Safe,Increasing
2026-02-12 14:54:09,Zone_D,Safe,Increasing
2026-02-12 14:54:09,Zone_A,Safe,Increasing
2026-02-12 14:54:09,Zone_B,Safe,Decreasing
2026-02-12 14:54:09,Zone_C,Safe,Decreasing
2026-02-12 14:54:09,Zone_D,Safe,Decreasing
2026-02-12 14:54:09,Zone_A,Safe,Increasing
2026-02-12 14:54:09,Zone_B,Safe,Increasing
2026-02-12 14:54:09,Zone_C,Safe,Increasing
2026-02-12 14:54:09,Zone_D,Safe,Increasing
2026-02-12 14:54:10,Zone_A,Safe,Decreasing
2026-02-12 14:54:10,Zone_B,Safe,Increasing
2026-02-12 14:54:10,Zone_C,Safe,Increasing
2026-02-12 14:54:10,Zone_D,Safe,Decreasing
2026-02-12 14:54:10,Zone_A,Safe,Decreasing
2026-02-12 14:54:10,Zone_B,Safe,Increasing
2026-02-12 14:54:10,Zone_C,Safe,Decreasing
2026-02-12 14:54:10,Zone_D,Safe,Increasing
2026-02-12 14:54:10,Zone_A,Safe,Stable
2026-02-12 14:54:10,Zone_B,Safe,Decreasing
2026-02-12 14:54:10,Zone_C,Safe,Increasing
2026-02-12 14:54:10,Zone_D,Safe,Decreasing
2026-02-12 14:54:10,Zone_A,Safe,Decreasing
2026-02-12 14:54:10,Zone_B,Safe,Increasing
2026-02-12 14:54:10,Zone_C,Safe,Increasing
2026-02-12 14:54:10,Zone_D,Safe,Increasing
2026-02-12 14:54:10,Zone_A,Safe,Increasing
2026-02-12 14:54:10,Zone_B,Safe,Decreasing
2026-02-12 14:54:10,Zone_C,Safe,Increasing
2026-02-12 14:54:10,Zone_D,Safe,Stable
2026-02-12 14:54:11,Zone_A,Safe,Decreasing
2026-02-12 14:54:11,Zone_B,Safe,Decreasing
2026-02-12 14:54:11,Zone_C,Safe,Decreasing
2026-02-12 14:54:11,Zone_D,Safe,Increasing
2026-02-12 14:54:11,Zone_A,Safe,Stable
2026-02-12 14:54:11,Zone_B,Safe,Decreasing
2026-02-12 14:54:11,Zone_C,Safe,Decreasing
2026-02-12 14:54:11,Zone_D,Safe,Increasing
2026-02-12 14:54:11,Zone_A,Safe,Decreasing
2026-02-12 14:54:11,Zone_B,Safe,Increasing
2026-02-12 14:54:11,Zone_C,Safe,Stable
2026-02-12 14:54:11,Zone_D,Safe,Stable
2026-02-12 14:54:11,Zone_A,Safe,Decreasing
2026-02-12 14:54:11,Zone_B,Safe,Increasing
2026-02-12 14:54:11,Zone_C,Safe,Decreasing
2026-02-12 14:54:11,Zone_D,Safe,Increasing
2026-02-12 14:54:11,Zone_A,Safe,Increasing
2026-02-12 14:54:11,Zone_B,Safe,Increasing
2026-02-12 14:54:11,Zone_C,Safe,Increasing
2026-02-12 14:54:11,Zone_D,Safe,Increasing
2026-02-12 14:54:11,Zone_A,Safe,Increasing
2026-02-12 14:54:11,Zone_B,Safe,Decreasing
2026-02-12 14:54:11,Zone_C,Safe,Increasing
2026-02-12 14:54:11,Zone_D,Safe,Increasing
2026-02-12 14:54:12,Zone_A,Safe,Decreasing
2026-02-12 14:54:12,Zone_B,Safe,Increasing
2026-02-12 14:54:12,Zone_C,Safe,Decreasing
2026-02-12 14:54:12,Zone_D,Safe,Increasing
2026-02-12 14:54:12,Zone_A,Safe,Decreasing
2026-02-12 14:54:12,Zone_B,Safe,Increasing
2026-02-12 14:54:12,Zone_C,Safe,Decreasing
2026-02-12 14:54:12,Zone_D,Safe,Decreasing
2026-02-12 14:54:12,Zone_A,Safe,Decreasing
2026-02-12 14:54:12,Zone_B,Safe,Decreasing
2026-02-12 14:54:12,Zone_C,Safe,Decreasing
2026-02-12 14:54:12,Zone_D,Safe,Increasing
2026-02-12 14:54:12,Zone_A,Safe,Increasing
2026-02-12 14:54:12,Zone_B,Safe,Decreasing
2026-02-12 14:54:12,Zone_C,Safe,Increasing
2026-02-12 14:54:12,Zone_D,Safe,Increasing
2026-02-12 14:54:12,Zone_A,Safe,Stable
2026-02-12 14:54:12,Zone_B,Safe,Increasing
2026-02-12 14:54:12,Zone_C,Safe,Increasing
2026-02-12 14:54:12,Zone_D,Safe,Decreasing
2026-02-12 14:54:12,Zone_A,Safe,Increasing
2026-02-12 14:54:12,Zone_B,Safe,Decreasing
2026-02-12 14:54:12,Zone_C,Safe,Decreasing
2026-02-12 14:54:12,Zone_D,Safe,Increasing
2026-02-12 14:54:13,Zone_A,Safe,Increasing
2026-02-12 14:54:13,Zone_B,Safe,Decreasing
2026-02-12 14:54:13,Zone_C,Safe,Increasing
2026-02-12 14:54:13,Zone_D,Safe,Decreasing
2026-02-12 14:54:13,Zone_A,Safe,Decreasing
2026-02-12 14:54:13,Zone_B,Safe,Decreasing
2026-02-12 14:54:13,Zone_C,Safe,Decreasing
2026-02-12 14:54:13,Zone_D,Safe,Increasing
